ASSET_ID,ASSET_NOMINAL_CAPACITY
1,132000
2,93000
3,238600
4,206000
5,310000
6,179265
7,86000
8,160000
9,413500
10,98515
11,245000
12,155000
13,277000
14,70300
15,97920
16,38000
17,19500
18,74500
19,177000
20,139000
21,180000
22,28800
23,73800
24,314000
25,85000
26,172800
27,5500
28,20000
29,7500
30,215000
31,263776
32,78750
33,352000
34,13020
35,418000
36,25000
37,209787
38,365644
39,249700
40,125000
41,57000
42,125000
43,190000
44,26500
45,89000
46,65000
47,73000
48,42500
49,126000
50,560500
51,135000
52,4100
53,60000
54,195000
55,56114.5
56,91575
57,80000
58,502500
59,260000
60,8300
61,275000
62,225000
63,603000
64,254000
65,83000
66,11000
67,335000
68,13765
69,56114.5
70,75000
71,110000
72,556000
73,225500
74,218200
75,46000
76,26600
77,275000
78,78750
79,571000
80,199000
81,75000
82,256000
83,146000
