SAMPLE_ID,PRODUCTION_GROUP_2,PRODUCTION_GROUP_3
105,3914453.4369388316,8886031.411370242
106,3724514.4767152,8594720.748398455
107,4240389.82568087,9799688.439505292
108,4204228.408232948,9115603.907992482
109,3714731.7321663676,8859839.275803633
110,3694700.2919258904,9168297.935943676
111,3246419.449306437,8658097.452087427
112,3966429.2803033036,9394199.700292224
113,3822604.737637545,9289959.629235672
114,3601565.85039543,9219161.719572987
115,3580157.425896376,8972252.616947373
116,3605318.4831234575,8779738.666444512
117,3198346.1754656974,8644133.796865214
118,3677207.420810343,8821058.27340804
119,3697126.3903483194,8950918.656267293
120,3656654.7999833557,9420676.592501234
121,3912686.94164417,9111109.47004513
122,4058565.651449048,9143611.47223086
123,3977465.6966514885,9592137.690967016
124,3720137.0206878525,9963465.13185928
125,3500552.041990203,9165544.16795485
126,3888446.217561551,9047641.630707985
127,3652431.54647664,8821077.45260597
128,3626510.025549451,9430732.654501934
129,4141134.861609969,9156965.459838111
130,3752072.5242393245,8992529.195901027
131,4280476.774404246,8836751.333409755
132,4198679.599387859,9470148.081575083
133,3908852.9172628303,9220172.921639541
134,3585750.389505225,9050594.508606102
135,3386849.480371147,9384812.374215052
136,3932064.930518312,8806570.191474587
137,3727648.429035209,9311396.89541229
138,4124898.1128527084,9279829.986220429
139,3745206.958126002,8922452.865738753
140,4143755.976849067,10043385.188968785
141,3756675.9615955665,9255264.6985751
142,3548779.576080412,8857930.844049403
143,3553425.691345897,8787936.49476241
144,3659160.0768421353,9499376.680363048
145,3759704.296469749,8449894.425911274
146,3883843.276791502,9097217.999773363
147,3978480.824740679,9221749.946406428
148,4156388.102771863,9160373.151768997
149,3653286.7277148226,9474568.098071828
150,3642634.767384321,8932425.792761259
