SAMPLE_ID,PRODUCTION_GROUP_2,PRODUCTION_GROUP_3
1,3850220.0,9019860.32
2,3793240.0,8568867.304000001
3,3870570.0,8549258.912
4,3801380.0,8451216.952
5,3752540.0,8323762.404000001
6,3679280.0,8255133.032000001
7,3724050.0,8627692.48
8,3614160.0,8706126.048
9,3691490.0,8421804.364
10,3744400.0,8725734.44
11,3752540.0,9010056.124000002
12,3850220.0,8921818.36
13,3858360.0,8784559.615999999
14,3817660.0,9157119.064000001
15,3894990.0,9274769.416
16,3890920.0,9264965.22
17,3654860.0,9157119.064000001
18,3821730.0,9461049.14
19,3923480.0,9421832.355999999
20,3988600.0,9539482.707999999
21,3939760.0,9382615.572
22,4017090.0,9451244.944
23,4000810.0,9392419.768
24,3874640.0,9186531.652
25,3943830.0,9323790.396
26,3964180.0,9480657.532
27,3976390.0,9412028.16
28,3919410.0,9353202.984000001
29,3878710.0,9510070.12
30,4053720.0,9461049.14
31,3964180.0,9510070.12
32,4013020.0,9343398.787999999
33,4139190.0,9412028.16
34,4135120.0,8955231.0
35,4017090.0,8780442.0
36,3874640.0,8409362.0
37,3667070.0,8323762.404000001
38,3650790.0,8392391.775999999
39,3597880.0,8676713.46
40,3426940.0,8206112.052
41,3467640.0,8843384.792000001
42,3528690.0,8862993.184
43,3443220.0,9049272.908
44,3597880.0,9098293.888
45,3850220.0,8882601.576
46,3821730.0,9255161.024
47,3862430.0,9294377.808
48,3764750.0,9304182.004
49,3756610.0,9402223.964000002
50,3874640.0,9421832.355999999
51,3899060.0,9598307.884000001
52,3829870.0,9470853.336
53,3675210.0,9284573.612
54,3610090.0,9078685.496
55,3732190.0,8490433.736
56,3866500.0,9088489.692
57,3801380.0,8764951.224000001
58,3679280.0,8510042.127999999
59,3553110.0,8529650.52
60,3654860.0,8608084.088
61,3642650.0,8804168.008
62,3711840.0,9078685.496
63,3781030.0,9127706.476
64,3813590.0,9245356.828
65,3805450.0,9225748.435999999
66,3894990.0,9059077.104
67,3919410.0,8941426.752
68,3911270.0,8921818.36
69,3862430.0,8794363.812
70,4017090.0,8735538.636
71,4041510.0,8892405.772
72,4070000.0,9157119.064000001
73,4122910.0,9274769.416
74,3947900.0,9294377.808
75,3947900.0,9519874.316
76,3935690.0,9568895.295999998
77,3919410.0,9568895.295999998
78,3866500.0,9510070.12
79,3793240.0,9235552.632000001
80,3797310.0,9078685.496
81,4033370.0,9274769.416
82,4045580.0,9539482.707999999
83,4025230.0,9774783.412
84,4057790.0,9745370.824000001
85,4070000.0,9392419.768
86,3988600.0,9529678.512
87,3964180.0,9666937.256
88,3911270.0,9461049.14
89,3386240.0,9147314.867999999
90,3211230.0,9215944.24
91,2983310.0,9333594.592
92,2849000.0,9500265.924
93,3015870.0,9402223.964000002
94,3068780.0,9461049.14
95,3146110.0,9480657.532
96,3414730.0,9196335.848
97,3719980.0,9363007.18
98,3894990.0,9539482.707999999
99,3838010.0,9559091.1
100,3984530.0,9372811.375999998
101,3976390.0,9588503.688
102,3903130.0,9598307.884000001
103,3927550.0,9745370.824000001
104,3951970.0,9578699.492
